emotion_label,mouth_width,eye_distance,eyebrow_raise,smile_intensity,frown_intensity,eye_openness,mean_GSR,GSR_peaks,GSR_slope
Embarrassed_Nervous,32.6118315093265,43.894014399187,0.615225981488492,0,0,0.594217681855769,4.06682149534665,3,-0.220134980715523
Nervous,30.4101526062938,45.6854430087668,0.530324942928284,0,0.740948327421961,0.549559667444369,4.11876507849984,2,-0.0312195146444869
Happy_Nervous,33.4690075604277,46.6653790283742,0,0.789948448509919,0.345829322776366,0.523889951585136,4.29309622874497,4,0.0771287859061509
Angry,33.6954940022661,43.0447248791207,0.0346678484199283,0.0284276353968347,0.947257325152544,0.498387978457836,4.85698103737285,2,-0.0854659210105199
Embarrassed_Nervous,30.8080948733039,44.0406267631569,0.782787770318283,0,0,0.579300967595714,4.00517817263878,6,0.141641914857524
Happy,32.5629142623819,44.987095643594,0.21740758272814,0.922274574353683,0.0929631972580668,0.568652619491149,4.53293095641331,6,-0.0343876714071843
Happy_Nervous,32.7390905192394,43.1138285961028,0,0.708230083795895,0.306432229177075,0.591719938370707,4.27767990317972,3,-0.100537395060765
Embarrassed,30.0110191129434,42.7550408699012,0.751457075726044,0,0,0.447381017816155,3.84822139918656,5,-0.0694111101880512
Sad,30.0080605260006,43.6133663384025,0.00347899178442908,0.06153719830142,0.854630707437768,0.322068284726424,1.73705066818453,5,0.0203452108746755
Sad_Angry,31.517249320867,44.4595043369078,0,0,0.816608208660145,0.403054806982473,4.29735482392006,6,0.0555170117110542
Angry,30.4335558784556,45.1529093220949,0.0763498111296787,0.0258853424296264,0.814499132546702,0.491571432885138,4.92579624919765,4,-0.030687451378474
Happy_Relaxed,30.3795893381682,46.7925878379567,0,0.834818893758743,0,0.504189472934632,2.51563009920513,3,0.080396095456953
Frustrated,30.3765026136973,44.9976834994589,0,0,0.770620820252315,0.463427695163012,4.71378933322429,1,0.0599381682311433
Surprise,31.2448744902935,44.0602911771564,0.815603581498612,0.34239809499685,0,0.808685414669221,4.95958854024245,4,-0.0957214653814868
Bored,31.5148652163833,45.4649743355487,0,0.0187809685378613,0.0091831231684013,0.452109638982472,1.29881942152191,2,0.0460972549889132
Disgust_Angry,33.5273610002511,45.2634810454696,0,0,0.80301344506918,0.489015663984102,4.42922812170964,4,-0.00186770470796364
